Filename,ID,Microscope,Objective,Mag,Accession,Ear ,Ear row,Ear position,Spk position,Position type,taxon code,View,Charred?
18033_CH_Catal_18596__S20_1x1_l,18033,Nikon,1x,1,Catal,CH,18596,,,S20,Catal,l,
18034_CH_Catal_18596__S21_1x1_d,18034,Nikon,1x,1,Catal,CH,18596,,,S21,Catal,d,
18035_CH_Catal_18596__S21_1x1_l,18035,Nikon,1x,1,Catal,CH,18596,,,S21,Catal,l,
18038_CH_Catal_18596__S23_1x1_d,18038,Nikon,1x,1,Catal,CH,18596,,,S23,Catal,d,
18039_CH_Catal_18596__S23_1x1_l,18039,Nikon,1x,1,Catal,CH,18596,,,S23,Catal,l,
18040_CH_Catal_18598__S4_1x1_d,18040,Nikon,1x,1,Catal,CH,18598,,,S4,Catal,d,
18041_CH_Catal_18598__S4_1x1_l,18041,Nikon,1x,1,Catal,CH,18598,,,S4,Catal,l,
18046_CH_Catal_18598__S7_1x1_d,18046,Nikon,1x,1,Catal,CH,18598,,,S7,Catal,d,
18047_CH_Catal_18598__S7_1x1_l,18047,Nikon,1x,1,Catal,CH,18598,,,S7,Catal,l,
18048_CH_Catal_12913__S4_1x1_d,18048,Nikon,1x,1,Catal,CH,12913,,,S4,Catal,d,
18049_CH_Catal_12913__S4_1x1_l,18049,Nikon,1x,1,Catal,CH,12913,,,S4,Catal,l,
18050_CH_Catal_12913__S5_1x1_d,18050,Nikon,1x,1,Catal,CH,12913,,,S5,Catal,d,
18051_CH_Catal_12913__S5_1x1_l,18051,Nikon,1x,1,Catal,CH,12913,,,S5,Catal,l,
18054_CH_Catal_6059__S4_1x1_d,18054,Nikon,1x,1,Catal,CH,6059,,,S4,Catal,d,
18055_CH_Catal_6059__S4_1x1_l,18055,Nikon,1x,1,Catal,CH,6059,,,S4,Catal,l,
18056_CH_Catal_6059__S5_1x1_d,18056,Nikon,1x,1,Catal,CH,6059,,,S5,Catal,d,
18057_CH_Catal_6059__S5_1x1_l,18057,Nikon,1x,1,Catal,CH,6059,,,S5,Catal,l,
18058_CH_Catal_6059__S1_1x1_d,18058,Nikon,1x,1,Catal,CH,6059,,,S1,Catal,d,
18059_CH_Catal_6059__S1_1x1_l,18059,Nikon,1x,1,Catal,CH,6059,,,S1,Catal,l,
18060_CH_Catal_6059__S6_1x1_d,18060,Nikon,1x,1,Catal,CH,6059,,,S6,Catal,d,
18061_CH_Catal_6059__S6_1x1_l,18061,Nikon,1x,1,Catal,CH,6059,,,S6,Catal,l,
18062_CH_Catal_6059__S7_1x1_d,18062,Nikon,1x,1,Catal,CH,6059,,,S7,Catal,d,
18063_CH_Catal_6059__S7_1x1_l,18063,Nikon,1x,1,Catal,CH,6059,,,S7,Catal,l,
18064_CH_Catal_6059__S8_1x1_d,18064,Nikon,1x,1,Catal,CH,6059,,,S8,Catal,d,
18065_CH_Catal_6059__S8_1x1_l,18065,Nikon,1x,1,Catal,CH,6059,,,S8,Catal,l,
18070_CH_Catal_6059__S11_1x1_d,18070,Nikon,1x,1,Catal,CH,6059,,,S11,Catal,d,
18071_CH_Catal_6059__S11_1x1_l,18071,Nikon,1x,1,Catal,CH,6059,,,S11,Catal,l,
18076_CH_Catal_6059__S14_1x1_d,18076,Nikon,1x,1,Catal,CH,6059,,,S14,Catal,d,
18077_CH_Catal_6059__S14_1x1_l,18077,Nikon,1x,1,Catal,CH,6059,,,S14,Catal,l,
18080_CH_Catal_6059__S16_1x1_d,18080,Nikon,1x,1,Catal,CH,6059,,,S16,Catal,d,
18081_CH_Catal_6059__S16_1x1_l,18081,Nikon,1x,1,Catal,CH,6059,,,S16,Catal,l,
18082_CH_Catal_6059__S17_1x1_d,18082,Nikon,1x,1,Catal,CH,6059,,,S17,Catal,d,
18083_CH_Catal_6059__S17_1x1_l,18083,Nikon,1x,1,Catal,CH,6059,,,S17,Catal,l,
18084_CH_Catal_6059__S18_1x1_d,18084,Nikon,1x,1,Catal,CH,6059,,,S18,Catal,d,
18085_CH_Catal_6059__S18_1x1_l,18085,Nikon,1x,1,Catal,CH,6059,,,S18,Catal,l,
18086_CH_Catal_6059__S19_1x1_d,18086,Nikon,1x,1,Catal,CH,6059,,,S19,Catal,d,
18087_CH_Catal_6059__S19_1x1_l,18087,Nikon,1x,1,Catal,CH,6059,,,S19,Catal,l,
18088_CH_Catal_6059__S20_1x1_d,18088,Nikon,1x,1,Catal,CH,6059,,,S20,Catal,d,
18089_CH_Catal_6059__S20_1x1_l,18089,Nikon,1x,1,Catal,CH,6059,,,S20,Catal,l,
18090_CH_Catal_6059__S21_1x1_d,18090,Nikon,1x,1,Catal,CH,6059,,,S21,Catal,d,
18091_CH_Catal_6059__S21_1x1_l,18091,Nikon,1x,1,Catal,CH,6059,,,S21,Catal,l,
18092_CH_Catal_6059__S22_1x1_d,18092,Nikon,1x,1,Catal,CH,6059,,,S22,Catal,d,
18093_CH_Catal_6059__S22_1x1_l,18093,Nikon,1x,1,Catal,CH,6059,,,S22,Catal,l,
18094_CH_Catal_6059__S23_1x1_d,18094,Nikon,1x,1,Catal,CH,6059,,,S23,Catal,d,
18095_CH_Catal_6059__S23_1x1_l,18095,Nikon,1x,1,Catal,CH,6059,,,S23,Catal,l,
18096_CH_Catal_6059__S24_1x1_d,18096,Nikon,1x,1,Catal,CH,6059,,,S24,Catal,d,
18097_CH_Catal_6059__S24_1x1_l,18097,Nikon,1x,1,Catal,CH,6059,,,S24,Catal,l,
18102_CH_Catal_6059__S27_1x1_d,18102,Nikon,1x,1,Catal,CH,6059,,,S27,Catal,d,
18103_CH_Catal_6059__S27_1x1_l,18103,Nikon,1x,1,Catal,CH,6059,,,S27,Catal,l,
18104_CH_Catal_6059__S28_1x1_d,18104,Nikon,1x,1,Catal,CH,6059,,,S28,Catal,d,
18105_CH_Catal_6059__S28_1x1_l,18105,Nikon,1x,1,Catal,CH,6059,,,S28,Catal,l,
18106_CH_Catal_6059__S29_1x1_d,18106,Nikon,1x,1,Catal,CH,6059,,,S29,Catal,d,
18107_CH_Catal_6059__S29_1x1_l,18107,Nikon,1x,1,Catal,CH,6059,,,S29,Catal,l,
18108_CH_Catal_6059__S30_1x1_d,18108,Nikon,1x,1,Catal,CH,6059,,,S30,Catal,d,
18109_CH_Catal_6059__S30_1x1_l,18109,Nikon,1x,1,Catal,CH,6059,,,S30,Catal,l,
18110_CH_Catal_18598__S2_1x1_d,18110,Nikon,1x,1,Catal,CH,18598,,,S2,Catal,d,TR grain size photo
18111_CH_Catal_18598__S2_1x1_l,18111,Nikon,1x,1,Catal,CH,18598,,,S2,Catal,l,TR grain size photo
18112_CH_Catal_18598__S3_1x1_d,18112,Nikon,1x,1,Catal,CH,18598,,,S3,Catal,d,
18113_CH_Catal_18598__S3_1x1_l,18113,Nikon,1x,1,Catal,CH,18598,,,S3,Catal,l,
18114_CH_Catal_3297__S2_1x1_d,18114,Nikon,1x,1,Catal,CH,3297,,,S2,Catal,d,
18115_CH_Catal_3297__S2_1x1_l,18115,Nikon,1x,1,Catal,CH,3297,,,S2,Catal,l,
18116_CH_Catal_3297__S3_1x1_d,18116,Nikon,1x,1,Catal,CH,3297,,,S3,Catal,d,
18117_CH_Catal_3297__S3_1x1_l,18117,Nikon,1x,1,Catal,CH,3297,,,S3,Catal,l,
18120_CH_Catal_13827__S1_1x1_d,18120,Nikon,1x,1,Catal,CH,13827,,,S1,Catal,d,
18121_CH_Catal_13827__S1_1x1_l,18121,Nikon,1x,1,Catal,CH,13827,,,S1,Catal,l,
18122_CH_Catal_13827__S1_1x1_d,18122,Nikon,1x,1,Catal,CH,13827,,,S3,Catal,d,
18123_CH_Catal_13827__S1_1x1_l,18123,Nikon,1x,1,Catal,CH,13827,,,S3,Catal,l,
18124_CH_Catal_9134__S1_1x1_d,18124,Nikon,1x,1,Catal,CH,9134,,,S1,Catal,d,
18125_CH_Catal_9134__S1_1x1_l,18125,Nikon,1x,1,Catal,CH,9134,,,S1,Catal,l,
18126_CH_Catal_9134__S2_1x1_d,18126,Nikon,1x,1,Catal,CH,9134,,,S2,Catal,d,
18127_CH_Catal_9134__S2_1x1_l,18127,Nikon,1x,1,Catal,CH,9134,,,S2,Catal,l,
18130_CH_Catal_9134__S4_1x1_d,18130,Nikon,1x,1,Catal,CH,9134,,,S4,Catal,d,
18131_CH_Catal_9134__S4_1x1_l,18131,Nikon,1x,1,Catal,CH,9134,,,S4,Catal,l,
18134_CH_Catal_9134__S6_1x1_d,18134,Nikon,1x,1,Catal,CH,9134,,,S6,Catal,d,
18135_CH_Catal_9134__S6_1x1_l,18135,Nikon,1x,1,Catal,CH,9134,,,S6,Catal,l,
18136_CH_Catal_9134__S7_1x1_d,18136,Nikon,1x,1,Catal,CH,9134,,,S7,Catal,d,
18137_CH_Catal_9134__S7_1x1_l,18137,Nikon,1x,1,Catal,CH,9134,,,S7,Catal,l,
18138_CH_Catal_9134__S8_1x1_d,18138,Nikon,1x,1,Catal,CH,9134,,,S8,Catal,d,
18139_CH_Catal_9134__S8_1x1_l,18139,Nikon,1x,1,Catal,CH,9134,,,S8,Catal,l,
18140_CH_Catal_9134__S9_1x1_d,18140,Nikon,1x,1,Catal,CH,9134,,,S9,Catal,d,
18141_CH_Catal_9134__S9_1x1_l,18141,Nikon,1x,1,Catal,CH,9134,,,S9,Catal,l,
18142_CH_Catal_9134__S10_1x1_d,18142,Nikon,1x,1,Catal,CH,9134,,,S10,Catal,d,
18143_CH_Catal_9134__S10_1x1_l,18143,Nikon,1x,1,Catal,CH,9134,,,S10,Catal,l,
18144_CH_Catal_9134__S11_1x1_d,18144,Nikon,1x,1,Catal,CH,9134,,,S11,Catal,d,
18145_CH_Catal_9134__S11_1x1_l,18145,Nikon,1x,1,Catal,CH,9134,,,S11,Catal,l,
18146_CH_Catal_9144__S1_1x1_d,18146,Nikon,1x,1,Catal,CH,9144,,,S1,Catal,d,
18147_CH_Catal_9144__S1_1x1_l,18147,Nikon,1x,1,Catal,CH,9144,,,S1,Catal,l,
18156_CH_Catal_18596__S26_1x1_d,18156,Nikon,1x,1,Catal,CH,18596,,,S26,Catal,d,
18157_CH_Catal_18596__S26_1x1_l,18157,Nikon,1x,1,Catal,CH,18596,,,S26,Catal,l,
18160_CH_Catal_18596__S28_1x1_d,18160,Nikon,1x,1,Catal,CH,18596,,,S28,Catal,d,
18161_CH_Catal_18596__S28_1x1_l,18161,Nikon,1x,1,Catal,CH,18596,,,S28,Catal,l,
18162_CH_Catal_18596__S29_1x1_d,18162,Nikon,1x,1,Catal,CH,18596,,,S29,Catal,d,
18163_CH_Catal_18596__S29_1x1_l,18163,Nikon,1x,1,Catal,CH,18596,,,S29,Catal,l,
18166_CH_Catal_18596__S31_1x1_d,18166,Nikon,1x,1,Catal,CH,18596,,,S31,Catal,d,
18167_CH_Catal_18596__S31_1x1_l,18167,Nikon,1x,1,Catal,CH,18596,,,S31,Catal,l,
18168_CH_Catal_18596__S32_1x1_d,18168,Nikon,1x,1,Catal,CH,18596,,,S32,Catal,d,
18169_CH_Catal_18596__S32_1x1_l,18169,Nikon,1x,1,Catal,CH,18596,,,S32,Catal,l,
18170_CH_Catal_18596__S33_1x1_d,18170,Nikon,1x,1,Catal,CH,18596,,,S33,Catal,d,
18171_CH_Catal_18596__S33_1x1_l,18171,Nikon,1x,1,Catal,CH,18596,,,S33,Catal,l,
18172_CH_Catal_18596__S34_1x1_d,18172,Nikon,1x,1,Catal,CH,18596,,,S34,Catal,d,
18173_CH_Catal_18596__S34_1x1_l,18173,Nikon,1x,1,Catal,CH,18596,,,S34,Catal,l,
18174_CH_Catal_6059__S31_1x1_d,18174,Nikon,1x,1,Catal,CH,6059,,,S31,Catal,d,
18175_CH_Catal_6059__S31_1x1_l,18175,Nikon,1x,1,Catal,CH,6059,,,S31,Catal,l,
18176_CH_Catal_6059__S32_1x1_d,18176,Nikon,1x,1,Catal,CH,6059,,,S32,Catal,d,
18177_CH_Catal_6059__S32_1x1_l,18177,Nikon,1x,1,Catal,CH,6059,,,S32,Catal,l,
18178_CH_Catal_6059__S33_1x1_d,18178,Nikon,1x,1,Catal,CH,6059,,,S33,Catal,d,
18179_CH_Catal_6059__S33_1x1_l,18179,Nikon,1x,1,Catal,CH,6059,,,S33,Catal,l,
18186_CH_Catal_6023__S1_1x1_d,18186,Nikon,1x,1,Catal,CH,6023,,,S1,Catal,d,
18187_CH_Catal_6023__S1_1x1_l,18187,Nikon,1x,1,Catal,CH,6023,,,S1,Catal,l,
18188_CH_Catal_6023__S2_1x1_d,18188,Nikon,1x,1,Catal,CH,6023,,,S2,Catal,d,
18189_CH_Catal_6023__S2_1x1_l,18189,Nikon,1x,1,Catal,CH,6023,,,S2,Catal,l,
18190_CH_Catal_6023__S3_1x1_d,18190,Nikon,1x,1,Catal,CH,6023,,,S3,Catal,d,
18191_CH_Catal_6023__S3_1x1_l,18191,Nikon,1x,1,Catal,CH,6023,,,S3,Catal,l,
18192_CH_Catal_6023__S4_1x1_d,18192,Nikon,1x,1,Catal,CH,6023,,,S4,Catal,d,
18193_CH_Catal_6023__S4_1x1_l,18193,Nikon,1x,1,Catal,CH,6023,,,S4,Catal,l,
18194_CH_Catal_6023__S5_1x1_d,18194,Nikon,1x,1,Catal,CH,6023,,,S5,Catal,d,
18195_CH_Catal_6023__S5_1x1_l,18195,Nikon,1x,1,Catal,CH,6023,,,S5,Catal,l,
18196_CH_Catal_6023__S6_1x1_d,18196,Nikon,1x,1,Catal,CH,6023,,,S6,Catal,d,
18197_CH_Catal_6023__S6_1x1_l,18197,Nikon,1x,1,Catal,CH,6023,,,S6,Catal,l,
18198_CH_Catal_6044__S1_1x1_d,18198,Nikon,1x,1,Catal,CH,6044,,,S1,Catal,d,
18199_CH_Catal_6044__S1_1x1_l,18199,Nikon,1x,1,Catal,CH,6044,,,S1,Catal,l,
18200_CH_Catal_6044__S2_1x1_d,18200,Nikon,1x,1,Catal,CH,6044,,,S2,Catal,d,
18201_CH_Catal_6044__S2_1x1_l,18201,Nikon,1x,1,Catal,CH,6044,,,S2,Catal,l,
18202_CH_Catal_6044__S3_1x1_d,18202,Nikon,1x,1,Catal,CH,6044,,,S3,Catal,d,
18203_CH_Catal_6044__S3_1x1_l,18203,Nikon,1x,1,Catal,CH,6044,,,S3,Catal,l,
18204_CH_Catal_6044__S4_1x1_d,18204,Nikon,1x,1,Catal,CH,6044,,,S4,Catal,d,
18205_CH_Catal_6044__S4_1x1_l,18205,Nikon,1x,1,Catal,CH,6044,,,S4,Catal,l,
18206_CH_Catal_6049__S1_1x1_d,18206,Nikon,1x,1,Catal,CH,6049,,,S1,Catal,d,
18207_CH_Catal_6049__S1_1x1_l,18207,Nikon,1x,1,Catal,CH,6049,,,S1,Catal,l,
18208_CH_Catal_6049__S2_1x1_d,18208,Nikon,1x,1,Catal,CH,6049,,,S2,Catal,d,
18209_CH_Catal_6049__S2_1x1_l,18209,Nikon,1x,1,Catal,CH,6049,,,S2,Catal,l,
18210_CH_Catal_6049__S3_1x1_d,18210,Nikon,1x,1,Catal,CH,6049,,,S3,Catal,d,
18211_CH_Catal_6049__S3_1x1_l,18211,Nikon,1x,1,Catal,CH,6049,,,S3,Catal,l,
18212_CH_Catal_6049__S4_1x1_d,18212,Nikon,1x,1,Catal,CH,6049,,,S4,Catal,d,
18213_CH_Catal_6049__S4_1x1_l,18213,Nikon,1x,1,Catal,CH,6049,,,S4,Catal,l,
18214_CH_Catal_6049__S5_1x1_d,18214,Nikon,1x,1,Catal,CH,6049,,,S5,Catal,d,
18215_CH_Catal_6049__S5_1x1_l,18215,Nikon,1x,1,Catal,CH,6049,,,S5,Catal,l,
2191_190157_A_R1_1of4_Tturg_1x1_d_c,2191,Nikon,1x,1,190157,A,R1,Base,1of4,External,Tturg,d,c
2192_190157_A_R1_1of4_Tturg_1x1_l_c,2192,Nikon,1x,1,190157,A,R1,Base,1of4,External,Tturg,l,c
2194_190157_A_R1_2of4_Tturg_1x1_d_c,2194,Nikon,1x,1,190157,A,R1,Base,2of4,Internal,Tturg,d,c
2195_190157_A_R1_2of4_Tturg_1x1_l_c,2195,Nikon,1x,1,190157,A,R1,Base,2of4,Internal,Tturg,l,c
2197_190157_A_R1_3of4_Tturg_1x1_d_c,2197,Nikon,1x,1,190157,A,R1,Base,3of4,Internal,Tturg,d,c
2198_190157_A_R1_3of4_Tturg_1x1_l_c,2198,Nikon,1x,1,190157,A,R1,Base,3of4,Internal,Tturg,l,c
2200_190157_A_R11_1of4_Tturg_1x1_d_c,2200,Nikon,1x,1,190157,A,R11,Mid,1of4,External,Tturg,d,c
2201_190157_A_R11_1of4_Tturg_1x1_l_c,2201,Nikon,1x,1,190157,A,R11,Mid,1of4,External,Tturg,l,c
2203_190157_A_R11_2of4_Tturg_1x1_d_c,2203,Nikon,1x,1,190157,A,R11,Mid,2of4,Internal,Tturg,d,c
2204_190157_A_R11_2of4_Tturg_1x1_l_c,2204,Nikon,1x,1,190157,A,R11,Mid,2of4,Internal,Tturg,l,c
2206_190157_A_R12_1of4_Tturg_1x1_d_c,2206,Nikon,1x,1,190157,A,R12,Mid,1of4,External,Tturg,d,c
2207_190157_A_R12_1of4_Tturg_1x1_l_c,2207,Nikon,1x,1,190157,A,R12,Mid,1of4,External,Tturg,l,c
2209_190157_A_R20_1of2_Tturg_1x1_d_c,2209,Nikon,1x,1,190157,A,R20,Top,1of2,External,Tturg,d,c
2210_190157_A_R20_1of2_Tturg_1x1_l_c,2210,Nikon,1x,1,190157,A,R20,Top,1of2,External,Tturg,l,c
2212_190157_A_R21_1of1_Tturg_1x1_d_c,2212,Nikon,1x,1,190157,A,R21,Top,1of1,Solo,Tturg,d,c
2213_190157_A_R21_1of1_Tturg_1x1_l_c,2213,Nikon,1x,1,190157,A,R21,Top,1of1,Solo,Tturg,l,c
2215_190157_A_R22_1of1_Tturg_1x1_d_c,2215,Nikon,1x,1,190157,A,R22,Top,1of1,Solo,Tturg,d,c
2216_190157_A_R22_1of1_Tturg_1x1_l_c,2216,Nikon,1x,1,190157,A,R22,Top,1of1,Solo,Tturg,l,c
2218_190157_B_R1_1of2_Tturg_1x1_d_c,2218,Nikon,1x,1,190157,B,R1,Base,1of2,External,Tturg,d,c
2219_190157_B_R1_1of2_Tturg_1x1_l_c,2219,Nikon,1x,1,190157,B,R1,Base,1of2,External,Tturg,l,c
2221_190157_B_R1_2of2_Tturg_1x1_d_c,2221,Nikon,1x,1,190157,B,R1,Base,2of2,External,Tturg,d,c
2222_190157_B_R1_2of2_Tturg_1x1_l_c,2222,Nikon,1x,1,190157,B,R1,Base,2of2,External,Tturg,l,c
2224_190157_B_R2_1of2_Tturg_1x1_d_c,2224,Nikon,1x,1,190157,B,R2,Base,1of2,External,Tturg,d,c
2225_190157_B_R2_1of2_Tturg_1x1_l_c,2225,Nikon,1x,1,190157,B,R2,Base,1of2,External,Tturg,l,c
2227_190157_B_R12_4of6_Tturg_1x1_d_c,2227,Nikon,1x,1,190157,B,R12,Mid,4of6,Internal,Tturg,d,c
2228_190157_B_R12_4of6_Tturg_1x1_l_c,2228,Nikon,1x,1,190157,B,R12,Mid,4of6,Internal,Tturg,l,c
2230_190157_B_R12_5of6_Tturg_1x1_d_c,2230,Nikon,1x,1,190157,B,R12,Mid,5of6,Internal,Tturg,d,c
2231_190157_B_R12_5of6_Tturg_1x1_l_c,2231,Nikon,1x,1,190157,B,R12,Mid,5of6,Internal,Tturg,l,c
2233_190157_B_R12_6of6_Tturg_1x1_d_c,2233,Nikon,1x,1,190157,B,R12,Mid,6of6,External,Tturg,d,c
2234_190157_B_R12_6of6_Tturg_1x1_l_c,2234,Nikon,1x,1,190157,B,R12,Mid,6of6,External,Tturg,l,c
2236_190157_B_R22_1of2_Tturg_1x1_d_c,2236,Nikon,1x,1,190157,B,R22,Top,1of2,External,Tturg,d,c
2237_190157_B_R22_1of2_Tturg_1x1_l_c,2237,Nikon,1x,1,190157,B,R22,Top,1of2,External,Tturg,l,c
2239_190157_B_R22_2of2_Tturg_1x1_d_c,2239,Nikon,1x,1,190157,B,R22,Top,2of2,External,Tturg,d,c
2240_190157_B_R22_2of2_Tturg_1x1_l_c,2240,Nikon,1x,1,190157,B,R22,Top,2of2,External,Tturg,l,c
2242_190157_B_R23_1of1_Tturg_1x1_d_c,2242,Nikon,1x,1,190157,B,R23,Top,1of1,Solo,Tturg,d,c
2243_190157_B_R23_1of1_Tturg_1x1_l_c,2243,Nikon,1x,1,190157,B,R23,Top,1of1,Solo,Tturg,l,c
2245_190157_C_R2_1of2_Tturg_1x1_d_c,2245,Nikon,1x,1,190157,C,R2,Base,1of2,External,Tturg,d,c
2246_190157_C_R2_1of2_Tturg_1x1_l_c,2246,Nikon,1x,1,190157,C,R2,Base,1of2,External,Tturg,l,c
2248_190157_C_R2_2of2_Tturg_1x1_d_c,2248,Nikon,1x,1,190157,C,R2,Base,2of2,External,Tturg,d,c
2249_190157_C_R2_2of2_Tturg_1x1_l_c,2249,Nikon,1x,1,190157,C,R2,Base,2of2,External,Tturg,l,c
2251_190157_C_R3_4of5_Tturg_1x1_d_c,2251,Nikon,1x,1,190157,C,R3,Base,4of5,Internal,Tturg,d,c
2252_190157_C_R3_4of5_Tturg_1x1_l_c,2252,Nikon,1x,1,190157,C,R3,Base,4of5,Internal,Tturg,l,c
2254_190157_C_R8_1of6_Tturg_1x1_d_c,2254,Nikon,1x,1,190157,C,R8,Mid,1of6,External,Tturg,d,c
2255_190157_C_R8_1of6_Tturg_1x1_l_c,2255,Nikon,1x,1,190157,C,R8,Mid,1of6,External,Tturg,l,c
2257_190157_C_R8_2of6_Tturg_1x1_d_c,2257,Nikon,1x,1,190157,C,R8,Mid,2of6,Internal,Tturg,d,c
2258_190157_C_R8_2of6_Tturg_1x1_l_c,2258,Nikon,1x,1,190157,C,R8,Mid,2of6,Internal,Tturg,l,c
2260_190157_C_R8_5of6_Tturg_1x1_d_c,2260,Nikon,1x,1,190157,C,R8,Mid,5of6,Internal,Tturg,d,c
2261_190157_C_R8_5of6_Tturg_1x1_l_c,2261,Nikon,1x,1,190157,C,R8,Mid,5of6,Internal,Tturg,l,c
2263_190157_C_R13_1of2_Tturg_1x1_d_c,2263,Nikon,1x,1,190157,C,R13,Top,1of2,External,Tturg,d,c
2264_190157_C_R13_1of2_Tturg_1x1_l_c,2264,Nikon,1x,1,190157,C,R13,Top,1of2,External,Tturg,l,c
2266_190157_C_R13_2of2_Tturg_1x1_d_c,2266,Nikon,1x,1,190157,C,R13,Top,2of2,External,Tturg,d,c
2267_190157_C_R13_2of2_Tturg_1x1_l_c,2267,Nikon,1x,1,190157,C,R13,Top,2of2,External,Tturg,l,c
2269_190157_C_R14_1of1_Tturg_1x1_d_c,2269,Nikon,1x,1,190157,C,R14,Top,1of1,Solo,Tturg,d,c
2270_190157_C_R14_1of1_Tturg_1x1_l_c,2270,Nikon,1x,1,190157,C,R14,Top,1of1,Solo,Tturg,l,c
2353_T1200011_A_R1_1of3_Hex_1x1_d_c,2353,Nikon,1x,1,T1200011,A,R1,,1of3,External,Tcom,d,c
2354_T1200011_A_R1_1of3_Hex_1x1_l_c,2354,Nikon,1x,1,T1200011,A,R1,,1of3,External,Tcom,l,c
2356_T1200011_A_R1_2of3_Hex_1x1_d_c,2356,Nikon,1x,1,T1200011,A,R1,,2of3,Internal,Tcom,d,c
2357_T1200011_A_R1_2of3_Hex_1x1_l_c,2357,Nikon,1x,1,T1200011,A,R1,,2of3,Internal,Tcom,l,c
2359_T1200011_A_R1_3of3_Hex_1x1_d_c,2359,Nikon,1x,1,T1200011,A,R1,,3of3,External,Tcom,d,c
2360_T1200011_A_R1_3of3_Hex_1x1_l_c,2360,Nikon,1x,1,T1200011,A,R1,,3of3,External,Tcom,l,c
2362_T1200011_A_R10_1of4_Hex_1x1_d_c,2362,Nikon,1x,1,T1200011,A,R10,,1of4,External,Tcom,d,c
2363_T1200011_A_R10_1of4_Hex_1x1_l_c,2363,Nikon,1x,1,T1200011,A,R10,,1of4,External,Tcom,l,c
2365_T1200011_A_R10_3of4_Hex_1x1_d_c,2365,Nikon,1x,1,T1200011,A,R10,,3of4,Internal,Tcom,d,c
2366_T1200011_A_R10_3of4_Hex_1x1_l_c,2366,Nikon,1x,1,T1200011,A,R10,,3of4,Internal,Tcom,l,c
2368_T1200011_A_R10_4of4_Hex_1x1_d_c,2368,Nikon,1x,1,T1200011,A,R10,,4of4,External,Tcom,d,c
2369_T1200011_A_R10_4of4_Hex_1x1_l_c,2369,Nikon,1x,1,T1200011,A,R10,,4of4,External,Tcom,l,c
2371_T1200011_A_R19_1of2_Hex_1x1_d_c,2371,Nikon,1x,1,T1200011,A,R19,,1of2,External,Tcom,d,c
2372_T1200011_A_R19_1of2_Hex_1x1_l_c,2372,Nikon,1x,1,T1200011,A,R19,,1of2,External,Tcom,l,c
2374_T1200011_A_R19_2of2_Hex_1x1_d_c,2374,Nikon,1x,1,T1200011,A,R19,,2of2,External,Tcom,d,c
2375_T1200011_A_R19_2of2_Hex_1x1_l_c,2375,Nikon,1x,1,T1200011,A,R19,,2of2,External,Tcom,l,c
2377_T1200011_A_R20_1of1_Hex_1x1_d_c,2377,Nikon,1x,1,T1200011,A,R20,,1of1,Solo,Tcom,d,c
2378_T1200011_A_R20_1of1_Hex_1x1_l_c,2378,Nikon,1x,1,T1200011,A,R20,,1of1,Solo,Tcom,l,c
2461_T1200011_B_R1_1of2_Hex_1x1_d_c,2461,Nikon,1x,1,T1200011,B,R1,,1of2,External,Tcom,d,c
2462_T1200011_B_R1_1of2_Hex_1x1_l_c,2462,Nikon,1x,1,T1200011,B,R1,,1of2,External,Tcom,l,c
2464_T1200011_B_R1_2of2_Hex_1x1_d_c,2464,Nikon,1x,1,T1200011,B,R1,,2of2,External,Tcom,d,c
2465_T1200011_B_R1_2of2_Hex_1x1_l_c,2465,Nikon,1x,1,T1200011,B,R1,,2of2,External,Tcom,l,c
2467_T1200011_B_R2_2of3_Hex_1x1_d_c,2467,Nikon,1x,1,T1200011,B,R2,,2of3,Internal,Tcom,d,c
2468_T1200011_B_R2_2of3_Hex_1x1_l_c,2468,Nikon,1x,1,T1200011,B,R2,,2of3,Internal,Tcom,l,c
2470_T1200011_B_R2_1of4_Hex_1x1_d_c,2470,Nikon,1x,1,T1200011,B,R11,,1of4,External,Tcom,d,c
2471_T1200011_B_R11_1of4_Hex_1x1_l_c,2471,Nikon,1x,1,T1200011,B,R11,,1of4,External,Tcom,l,c
2473_T1200011_B_R11_2of4_Hex_1x1_d_c,2473,Nikon,1x,1,T1200011,B,R11,,2of4,Internal,Tcom,d,c
2474_T1200011_B_R11_2of4_Hex_1x1_l_c,2474,Nikon,1x,1,T1200011,B,R11,,2of4,Internal,Tcom,l,c
2476_T1200011_B_R11_4of4_Hex_1x1_d_c,2476,Nikon,1x,1,T1200011,B,R11,,4of4,External,Tcom,d,c
2477_T1200011_B_R11_4of4_Hex_1x1_l_c,2477,Nikon,1x,1,T1200011,B,R11,,4of4,External,Tcom,l,c
2479_T1200011_B_R20_1of2_Hex_1x1_d_c,2479,Nikon,1x,1,T1200011,B,R20,,1of2,External,Tcom,d,c
2480_T1200011_B_R20_1of2_Hex_1x1_l_c,2480,Nikon,1x,1,T1200011,B,R20,,1of2,External,Tcom,l,c
2482_T1200011_B_R20_2of2_Hex_1x1_d_c,2482,Nikon,1x,1,T1200011,B,R20,,2of2,External,Tcom,d,c
2483_T1200011_B_R20_2of2_Hex_1x1_l_c,2483,Nikon,1x,1,T1200011,B,R20,,2of2,External,Tcom,l,c
2485_T1200011_B_R21_1of1_Hex_1x1_d_c,2485,Nikon,1x,1,T1200011,B,R21,,1of1,Solo,Tcom,d,c
